Model,Window,DM_Stat,P_Value,Significance
TimesNet-GRU-MHA (w/o FFT),5,2.4657681968752745,0.013851329050207584,**
TimesNet-GRU-MHA (w/o FFT),21,5.422635213150884,7.517344946528226e-08,***
TimesNet-GRU-MHA (w/o FFT),63,22.765255405057804,0.0,***
TimesNet-GRU-MHA (w/o 2D Inception),5,4.916009192694782,1.043574396009106e-06,***
TimesNet-GRU-MHA (w/o 2D Inception),21,2.4189993044455176,0.01575743948484276,**
TimesNet-GRU-MHA (w/o 2D Inception),63,4.317073520298282,1.762208798994358e-05,***
TimesNet-MHA (w/o GRU),5,2.845392360737793,0.004532988747316891,***
TimesNet-MHA (w/o GRU),21,18.4766733633179,0.0,***
TimesNet-MHA (w/o GRU),63,11.130481872648959,0.0,***
TimesNet-GRU (w/o MHA),5,4.051850728247066,5.505171240338669e-05,***
TimesNet-GRU (w/o MHA),21,2.8894359309081814,0.003950465816450199,***
TimesNet-GRU (w/o MHA),63,3.4061311869433615,0.0006889868409394317,***
GRU-MHA (w/o TimesNet),5,4.537844287466115,6.426803211168064e-06,***
GRU-MHA (w/o TimesNet),21,7.066213715262242,3.1543656575649948e-12,***
GRU-MHA (w/o TimesNet),63,16.629391295314498,0.0,***
